cve_id,year,cvss_score,severity,cwes,bucket,auto_reason,description,references,reviewer_note
CVE-2018-5287,2018,7.5,HIGH,CWE-22,ATTENUATION_MITIGATED,CWE match in attenuation set: ['CWE-22'],The GD Rating System plugin 2.3 for WordPress has Directory Traversal in the wp-admin/admin.php panel parameter for the gd-rating-system-about page.,github.com|wordpress.org|wpvulndb.com,
CVE-2018-7171,2018,7.5,HIGH,CWE-22,ATTENUATION_MITIGATED,CWE match in attenuation set: ['CWE-22'],Directory traversal vulnerability in Twonky Server 7.0.11 through 8.5 allows remote attackers to share the contents of arbitrary directories via a .. (dot dot) in the contentbase parameter to rpc/set_all.,github.com|packetstormsecurity.com|www.exploit-db.com,
CVE-2018-9866,2018,9.8,CRITICAL,"CWE-20,CWE-77",STRUCTURAL_REJECT,CWE match in structural set: ['CWE-77'],"A vulnerability in lack of validation of user-supplied parameters pass to XML-RPC calls on SonicWall Global Management System (GMS) virtual appliance's, allow remote user to execute arbitrary code. This vulnerability affected GMS version 8.1 and earlier.",github.com|psirt.global.sonicwall.com|twitter.com,
CVE-2019-0188,2019,7.5,HIGH,CWE-611,STRUCTURAL_REJECT,CWE match in structural set: ['CWE-611'],"Apache Camel prior to 2.24.0 contains an XML external entity injection (XXE) vulnerability (CWE-611) due to using an outdated vulnerable JSON-lib library. This affects only the camel-xmljson component, which was removed.",github.com|jvn.jp|lists.apache.org|www.openwall.com|www.oracle.com|www.securityfocus.com,
CVE-2019-1020012,2019,7.5,HIGH,CWE-444,ATTENUATION_MITIGATED,CWE match in attenuation set: ['CWE-444'],parse-server before 3.4.1 allows DoS after any POST to a volatile class.,github.com,
CVE-2019-10769,2019,9.8,CRITICAL,CWE-94,STRUCTURAL_REJECT,CWE match in structural set: ['CWE-94'],safer-eval is a npm package to sandbox the he evaluation of code used within the eval function. Affected versions of this package are vulnerable to Arbitrary Code Execution via generating a RangeError.,github.com|snyk.io,
CVE-2019-10801,2019,9.8,CRITICAL,CWE-78,STRUCTURAL_REJECT,CWE match in structural set: ['CWE-78'],"enpeem through 2.2.0 allows execution of arbitrary commands. The ""options.dir"" argument is provided to the ""exec"" function without any sanitization.",github.com|snyk.io,
CVE-2019-11319,2019,9.8,CRITICAL,CWE-78,STRUCTURAL_REJECT,CWE match in structural set: ['CWE-78'],"An issue was discovered in Motorola CX2 1.01 and M2 1.01. There is a command injection in the function downloadFirmware in hnap, which leads to remote code execution via shell metacharacters in a JSON value.",github.com,
CVE-2019-12086,2019,7.5,HIGH,CWE-502,STRUCTURAL_REJECT,CWE match in structural set: ['CWE-502'],"A Polymorphic Typing issue was discovered in FasterXML jackson-databind 2.x before 2.9.9. When Default Typing is enabled (either globally or for a specific property) for an externally exposed JSON endpoint, the service has the mysql-connector-java jar (8.0.14 or earlier) in the classpath, and an attacker can host a crafted MySQL server reachable by the victim, an attacker can send a crafted JSON m",access.redhat.com|github.com|lists.apache.org|lists.debian.org|lists.fedoraproject.org|medium.com|russiansecurity.expert|seclists.org|security.netapp.com|www.debian.org|www.oracle.com|www.securityfocus.com,
CVE-2019-12137,2019,7.8,HIGH,CWE-22,ATTENUATION_MITIGATED,CWE match in attenuation set: ['CWE-22'],"Typora 0.9.9.24.6 on macOS allows directory traversal, for execution of arbitrary programs, via a file:/// or ../ substring in a shared note.",github.com|packetstormsecurity.com|twitter.com,
CVE-2019-14530,2019,8.8,HIGH,CWE-22,ATTENUATION_MITIGATED,CWE match in attenuation set: ['CWE-22'],"An issue was discovered in custom/ajax_download.php in OpenEMR before 5.0.2 via the fileName parameter. An attacker can download any file (that is readable by the user www-data) from server storage. If the requested file is writable for the www-data user and the directory /var/www/openemr/sites/default/documents/cqm_qrda/ exists, it will be deleted from server.",github.com|packetstormsecurity.com,
CVE-2019-17670,2019,9.8,CRITICAL,CWE-918,STRUCTURAL_REJECT,CWE match in structural set: ['CWE-918'],WordPress before 5.2.4 has a Server Side Request Forgery (SSRF) vulnerability because Windows paths are mishandled during certain validation of relative URLs.,blog.wpscan.org|core.trac.wordpress.org|github.com|lists.debian.org|wordpress.org|wpvulndb.com,
CVE-2019-18211,2019,8.8,HIGH,CWE-502,STRUCTURAL_REJECT,CWE match in structural set: ['CWE-502'],"An issue was discovered in Orckestra C1 CMS through 6.6. The EntityTokenSerializer class in Composite.dll is prone to unvalidated deserialization of wrapped BinaryFormatter payloads, leading to arbitrary remote code execution for any low-privilege user.",github.com,
CVE-2019-18871,2019,8.8,HIGH,CWE-22,ATTENUATION_MITIGATED,CWE match in attenuation set: ['CWE-22'],"A path traversal in debug.php accessed via default.php in Blaauw Remote Kiln Control through v3.00r4 allows an authenticated attacker to upload arbitrary files, leading to arbitrary remote code execution.",github.com,
CVE-2019-8312,2019,8.8,HIGH,CWE-78,OUT_OF_SCOPE_BELOW_LANG,description matches below-language artefact,"An issue was discovered on D-Link DIR-878 devices with firmware 1.12A1. This issue is a Command Injection allowing a remote attacker to execute arbitrary code, and get a root shell. A command Injection vulnerability allows attackers to execute arbitrary OS commands via a crafted /HNAP1 POST request. This occurs when any HNAP API function triggers a call to the twsystem function with untrusted inpu",github.com,
CVE-2020-10990,2020,9.8,CRITICAL,CWE-611,STRUCTURAL_REJECT,CWE match in structural set: ['CWE-611'],An XXE issue exists in Accenture Mercury before 1.12.28 because of the platformlambda/core/serializers/SimpleXmlParser.java component.,github.com,
CVE-2020-13619,2020,9.8,CRITICAL,CWE-78,STRUCTURAL_REJECT,CWE match in structural set: ['CWE-78'],php/exec/escapeshellarg in Locutus PHP through 2.0.11 allows an attacker to achieve code execution.,locutus.io|reallinkers.github.io|www.npmjs.com,
CVE-2020-14472,2020,9.8,CRITICAL,CWE-77,STRUCTURAL_REJECT,CWE match in structural set: ['CWE-77'],"On Draytek Vigor3900, Vigor2960, and Vigor 300B devices before 1.5.1.1, there are some command-injection vulnerabilities in the mainfunction.cgi file.",gist.github.com,
CVE-2020-21365,2020,7.5,HIGH,CWE-22,ATTENUATION_MITIGATED,CWE match in attenuation set: ['CWE-22'],Directory traversal vulnerability in wkhtmltopdf through 0.12.5 allows remote attackers to read local files and disclose sensitive information via a crafted html file running with the default configurations.,github.com|lists.debian.org,
CVE-2020-21525,2020,7.5,HIGH,CWE-22,ATTENUATION_MITIGATED,CWE match in attenuation set: ['CWE-22'],"Halo V1.1.3 is affected by: Arbitrary File reading. In an interface that reads files in halo v1.1.3, a directory traversal check is performed on the input path parameter, but the startsWith function can be used to bypass it.",github.com,
CVE-2020-24140,2020,8.3,HIGH,CWE-918,STRUCTURAL_REJECT,CWE match in structural set: ['CWE-918'],"Server-side request forgery in Wcms 0.3.2 let an attacker send crafted requests from the back-end server of a vulnerable web application via the pagename parameter to wex/html.php. It can help identify open ports, local network hosts and execute command on local services.",github.com,
CVE-2020-28736,2020,8.8,HIGH,CWE-611,STRUCTURAL_REJECT,CWE match in structural set: ['CWE-611'],"Plone before 5.2.3 allows XXE attacks via a feature that is protected by an unapplied permission of plone.schemaeditor.ManageSchemata (therefore, only available to the Manager role).",dist.plone.org|github.com|www.misakikata.com,
CVE-2020-29134,2020,8.6,HIGH,CWE-22,ATTENUATION_MITIGATED,CWE match in attenuation set: ['CWE-22'],"The TOTVS Fluig platform allows path traversal through the parameter ""file = .. /"" encoded in base64. This affects all versions Fluig Lake 1.7.0, Fluig 1.6.5 and Fluig 1.6.4",github.com|systemweakness.com|www.exploit-db.com,
CVE-2020-36246,2020,7.8,HIGH,CWE-78,STRUCTURAL_REJECT,CWE match in structural set: ['CWE-78'],Amaze File Manager before 3.5.1 allows attackers to obtain root privileges via shell metacharacters in a symbolic link.,compass-security.com|github.com,
CVE-2020-37214,2020,7.5,HIGH,CWE-22,ATTENUATION_MITIGATED,CWE match in attenuation set: ['CWE-22'],Voyager 1.3.0 contains a directory traversal vulnerability that allows attackers to access sensitive system files by manipulating the asset path parameter. Attackers can exploit the path parameter in /admin/voyager-assets to read arbitrary files like /etc/passwd and .env configuration files.,github.com|voyager.devdojo.com|www.exploit-db.com|www.vulncheck.com,
CVE-2020-7619,2020,9.8,CRITICAL,CWE-78,STRUCTURAL_REJECT,CWE match in structural set: ['CWE-78'],get-git-data through 1.3.1 is vulnerable to Command Injection. It is possible to inject arbitrary commands as part of the arguments provided to get-git-data.,github.com|snyk.io,
CVE-2021-21414,2021,7.7,HIGH,CWE-78,STRUCTURAL_REJECT,CWE match in structural set: ['CWE-78'],"Prisma is an open source ORM for Node.js & TypeScript. As of today, we are not aware of any Prisma users or external consumers of the `@prisma/sdk` package who are affected by this security vulnerability. This issue may lead to remote code execution if a client of the library calls the vulnerable method with untrusted input. It only affects the `getPackedPackage` function and this function is not ",github.com|security.netapp.com,
CVE-2021-23420,2021,7.7,HIGH,CWE-502,STRUCTURAL_REJECT,CWE match in structural set: ['CWE-502'],"This affects the package codeception/codeception from 4.0.0 and before 4.1.22, before 3.1.3. The RunProcess class can be leveraged as a gadget to run arbitrary commands on a system that is deserializing user input without validation.",github.com|snyk.io,
CVE-2021-23664,2021,8.6,HIGH,CWE-918,STRUCTURAL_REJECT,CWE match in structural set: ['CWE-918'],The package @isomorphic-git/cors-proxy before 2.7.1 are vulnerable to Server-side Request Forgery (SSRF) due to missing sanitization and validation of the redirection action in middleware.js.,github.com|snyk.io,
CVE-2021-29465,2021,8.3,HIGH,"CWE-78,CWE-94",STRUCTURAL_REJECT,"CWE match in structural set: ['CWE-78', 'CWE-94']","Discord-Recon is a bot for the Discord chat service. Versions of Discord-Recon 0.0.3 and prior contain a vulnerability in which a remote attacker is able to overwrite any file on the system with the command results. This can result in remote code execution when the user overwrite important files on the system. As a workaround, bot maintainers can edit their `setting.py` file then add `<` and `>` i",github.com,
CVE-2021-30228,2021,9.8,CRITICAL,CWE-78,STRUCTURAL_REJECT,CWE match in structural set: ['CWE-78'],The api/ZRAndlink/set_ZRAndlink interface in China Mobile An Lianbao WF-1 router 1.0.1 allows remote attackers to execute arbitrary commands via shell metacharacters in the iandlink_proc_enable parameter.,github.com|iot.10086.cn|www.cnvd.org.cn,
CVE-2021-31605,2021,7.5,HIGH,CWE-78,STRUCTURAL_REJECT,CWE match in structural set: ['CWE-78'],furlongm openvpn-monitor through 1.1.3 allows %0a command injection via the OpenVPN management interface socket. This can shut down the server via signal%20SIGTERM.,github.com|packetstormsecurity.com,
CVE-2021-32650,2021,8.8,HIGH,"CWE-74,CWE-94",STRUCTURAL_REJECT,CWE match in structural set: ['CWE-94'],"October CMS is a self-hosted content management system (CMS) platform based on the Laravel PHP Framework. Prior to versions 1.0.473 and 1.1.6, an attacker with access to the backend is able to execute PHP code by using the theme import feature. This will bypass the safe mode feature that prevents PHP execution in the CMS templates.The issue has been patched in Build 473 (v1.0.473) and v1.1.6. Thos",github.com,
CVE-2021-32772,2021,8.8,HIGH,"CWE-78,CWE-79",STRUCTURAL_REJECT,CWE match in structural set: ['CWE-78'],"Poddycast is a podcast app made with Electron. Prior to version 0.8.1, an attacker can create a podcast or episode with malicious characters and execute commands on the client machine. The application does not clean the HTML characters of the podcast information obtained from the Feed, which allows the injection of HTML and JS code (cross-site scripting). Being an application made in electron, cro",github.com,
CVE-2021-32836,2021,7.5,HIGH,"CWE-502,CWE-94",STRUCTURAL_REJECT,"CWE match in structural set: ['CWE-502', 'CWE-94']",ZStack is open source IaaS(infrastructure as a service) software. In ZStack before versions 3.10.12 and 4.1.6 there is a pre-auth unsafe deserialization vulnerability in the REST API. An attacker in control of the request body will be able to provide both the class name and the data to be deserialized and therefore will be able to instantiate an arbitrary type and assign arbitrary values to its fi,github.com|securitylab.github.com,
CVE-2021-37694,2021,8.7,HIGH,CWE-94,STRUCTURAL_REJECT,CWE match in structural set: ['CWE-94'],@asyncapi/java-spring-cloud-stream-template generates a Spring Cloud Stream (SCSt) microservice. In versions prior to 0.7.0 arbitrary code injection was possible when an attacker controls the AsyncAPI document. An example is provided in GHSA-xj6r-2jpm-qvxp. There are no mitigations available and all users are advised to update.,github.com,
CVE-2021-37711,2021,8.8,HIGH,CWE-918,STRUCTURAL_REJECT,CWE match in structural set: ['CWE-918'],"Versions prior to 6.4.3.1 contain an authenticated server-side request forgery vulnerability in file upload via URL. Version 6.4.3.1 contains a patch. As workarounds for older versions of 6.1, 6.2, and 6.3, corresponding security measures are also available via a plugin.",github.com,
CVE-2021-3838,2021,9.8,CRITICAL,CWE-502,STRUCTURAL_REJECT,CWE match in structural set: ['CWE-502'],"DomPDF before version 2.0.0 is vulnerable to PHAR deserialization due to a lack of checking on the protocol before passing it into the file_get_contents() function. An attacker who can upload files of any type to the server can pass in the phar:// protocol to unserialize the uploaded file and instantiate arbitrary PHP objects. This can lead to remote code execution, especially when DOMPdf is used ",github.com|huntr.com,
CVE-2021-3907,2021,7.4,HIGH,"CWE-20,CWE-22",ATTENUATION_MITIGATED,CWE match in attenuation set: ['CWE-22'],"OctoRPKI does not escape a URI with a filename containing "".."", this allows a repository to create a file, (ex. rsync://example.org/repo/../../etc/cron.daily/evil.roa), which would then be written to disk outside the base cache folder. This could allow for remote code execution on the host machine OctoRPKI is running on.",github.com|www.debian.org,
CVE-2021-41599,2021,8.8,HIGH,CWE-77,STRUCTURAL_REJECT,CWE match in structural set: ['CWE-77'],"A remote code execution vulnerability was identified in GitHub Enterprise Server that could be exploited when building a GitHub Pages site. To exploit this vulnerability, an attacker would need permission to create and build a GitHub Pages site on the GitHub Enterprise Server instance. This vulnerability affected all versions of GitHub Enterprise Server prior to 3.3 and was fixed in versions 3.0.2",docs.github.com,
CVE-2021-42890,2021,9.8,CRITICAL,CWE-78,STRUCTURAL_REJECT,CWE match in structural set: ['CWE-78'],TOTOLINK EX1200T V4.1.2cu.5215 contains a remote command injection vulnerability in function NTPSyncWithHost of the file system.so which can control hostTime to attack.,github.com,
CVE-2021-43836,2021,8.5,HIGH,CWE-22,ATTENUATION_MITIGATED,CWE match in attenuation set: ['CWE-22'],"Sulu is an open-source PHP content management system based on the Symfony framework. In affected versions an attacker can read arbitrary local files via a PHP file include. In a default configuration this also leads to remote code execution. The problem is patched with the Versions 1.6.44, 2.2.18, 2.3.8, 2.4.0. For users unable to upgrade overwrite the service `sulu_route.generator.expression_toke",github.com,
CVE-2021-44228,2021,10.0,CRITICAL,"CWE-20,CWE-400,CWE-502,CWE-917",STRUCTURAL_REJECT,CWE match in structural set: ['CWE-502'],"Apache Log4j2 2.0-beta9 through 2.15.0 (excluding security releases 2.12.2, 2.12.3, and 2.3.1) JNDI features used in configuration, log messages, and parameters do not protect against attacker controlled LDAP and other JNDI related endpoints. An attacker who can control log messages or log message parameters can execute arbitrary code loaded from LDAP servers when message lookup substitution is en",cert-portal.siemens.com|github.com|lists.debian.org|lists.fedoraproject.org|logging.apache.org|msrc-blog.microsoft.com|packetstormsecurity.com|psirt.global.sonicwall.com|seclists.org|security.netapp.com|support.apple.com|tools.cisco.com|twitter.com|www.bentley.com|www.cisa.gov|www.debian.org|www.intel.com|www.kb.cert.org|www.nu11secur1ty.com|www.openwall.com|www.oracle.com,
CVE-2021-45742,2021,9.8,CRITICAL,CWE-77,STRUCTURAL_REJECT,CWE match in structural set: ['CWE-77'],"TOTOLINK A720R v4.1.5cu.470_B20200911 was discovered to contain a command injection vulnerability in the ""Main"" function. This vulnerability allows attackers to execute arbitrary commands via the QUERY_STRING parameter.",github.com,
CVE-2021-46229,2021,9.8,CRITICAL,CWE-77,STRUCTURAL_REJECT,CWE match in structural set: ['CWE-77'],D-Link device DI-7200GV2.E1 v21.04.09E1 was discovered to contain a command injection vulnerability in the function usb_paswd.asp. This vulnerability allows attackers to execute arbitrary commands via the name parameter.,github.com|supportannouncement.us.dlink.com|www.dlink.com,
CVE-2021-46365,2021,7.8,HIGH,CWE-611,STRUCTURAL_REJECT,CWE match in structural set: ['CWE-611'],An issue in the Export function of Magnolia v6.2.3 and below allows attackers to execute XML External Entity attacks via a crafted XLF file.,docs.magnolia-cms.com|github.com,
CVE-2022-0198,2022,7.1,HIGH,CWE-611,STRUCTURAL_REJECT,CWE match in structural set: ['CWE-611'],corenlp is vulnerable to Improper Restriction of XML External Entity Reference,github.com|huntr.dev,
CVE-2022-1721,2022,7.5,HIGH,CWE-22,ATTENUATION_MITIGATED,CWE match in attenuation set: ['CWE-22'],Path Traversal in WellKnownServlet in GitHub repository jgraph/drawio prior to 18.0.5. Read local files of the web application.,github.com|huntr.dev,
CVE-2022-1723,2022,7.5,HIGH,CWE-918,STRUCTURAL_REJECT,CWE match in structural set: ['CWE-918'],Server-Side Request Forgery (SSRF) in GitHub repository jgraph/drawio prior to 18.0.6.,github.com|huntr.dev,
CVE-2022-23457,2022,7.5,HIGH,CWE-22,ATTENUATION_MITIGATED,CWE match in attenuation set: ['CWE-22'],"ESAPI (The OWASP Enterprise Security API) is a free, open source, web application security control library. Prior to version 2.3.0.0, the default implementation of `Validator.getValidDirectoryPath(String, String, File, boolean)` may incorrectly treat the tested input string as a child of the specified parent directory. This potentially could allow control-flow bypass checks to be defeated if an at",github.com|lists.debian.org|security.netapp.com|securitylab.github.com|www.oracle.com,
CVE-2022-24165,2022,9.8,CRITICAL,CWE-77,STRUCTURAL_REJECT,CWE match in structural set: ['CWE-77'],Tenda routers G1 and G3 v15.11.0.17(9502)_CN were discovered to contain a command injection vulnerability in the function formSetQvlanList. This vulnerability allows attackers to execute arbitrary commands via the qvlanIP parameter.,github.com,
CVE-2022-24168,2022,9.8,CRITICAL,CWE-77,STRUCTURAL_REJECT,CWE match in structural set: ['CWE-77'],Tenda routers G1 and G3 v15.11.0.17(9502)_CN were discovered to contain a command injection vulnerability in the function formSetIpGroup. This vulnerability allows attackers to execute arbitrary commands via the IPGroupStartIP and IPGroupEndIP parameters.,github.com,
CVE-2022-24881,2022,8.8,HIGH,"CWE-20,CWE-94",STRUCTURAL_REJECT,CWE match in structural set: ['CWE-94'],"Ballcat Codegen provides the function of online editing code to generate templates. In versions prior to 1.0.0.beta.2, attackers can implement remote code execution through malicious code injection of the template engine. This happens because Velocity and freemarker templates are introduced but input verification is not done. The fault is rectified in version 1.0.0.beta.2.",github.com,
CVE-2022-25046,2022,9.8,CRITICAL,CWE-22,OUT_OF_SCOPE_BELOW_LANG,description matches below-language artefact,A path traversal vulnerability in loader.php of CWP v0.9.8.1122 allows attackers to execute arbitrary code via a crafted POST request.,github.com,
CVE-2022-26211,2022,9.8,CRITICAL,CWE-78,STRUCTURAL_REJECT,CWE match in structural set: ['CWE-78'],"Totolink A830R V5.9c.4729_B20191112, A3100R V4.1.2cu.5050_B20200504, A950RG V4.1.2cu.5161_B20200903, A800R V4.1.2cu.5137_B20200730, A3000RU V5.9c.5185_B20201128, and A810R V4.1.2cu.5182_B20201026 were discovered to contain a command injection vulnerability in the function CloudACMunualUpdate, via the deviceMac and deviceName parameters. This vulnerability allows attackers to execute arbitrary comm",github.com,
CVE-2022-26992,2022,9.8,CRITICAL,CWE-78,STRUCTURAL_REJECT,CWE match in structural set: ['CWE-78'],"Arris routers SBR-AC1900P 1.0.7-B05, SBR-AC3200P 1.0.7-B05 and SBR-AC1200P 1.0.5-B05 were discovered to contain a command injection vulnerability in the ddns function via the DdnsUserName, DdnsHostName, and DdnsPassword parameters. This vulnerability allows attackers to execute arbitrary commands via a crafted request.",github.com,
CVE-2022-28055,2022,9.8,CRITICAL,CWE-78,STRUCTURAL_REJECT,CWE match in structural set: ['CWE-78'],Fusionpbx v4.4 and below contains a command injection vulnerability via the download email logs function.,github.com,
CVE-2022-28527,2022,8.1,HIGH,CWE-22,ATTENUATION_MITIGATED,CWE match in attenuation set: ['CWE-22'],dhcms v20170919 was discovered to contain an arbitrary folder deletion vulnerability via /admin.php?r=admin/AdminBackup/del.,github.com,
CVE-2022-31109,2022,7.2,HIGH,"CWE-444,CWE-79",ATTENUATION_MITIGATED,CWE match in attenuation set: ['CWE-444'],"laminas-diactoros is a PHP package containing implementations of the PSR-7 HTTP message interfaces and PSR-17 HTTP message factory interfaces. Applications that use Diactoros, and are either not behind a proxy, or can be accessed via untrusted proxies, can potentially have the host, protocol, and/or port of a `Laminas\Diactoros\Uri` instance associated with the incoming server request modified to ",github.com|portswigger.net,
CVE-2022-31393,2022,9.1,CRITICAL,CWE-918,STRUCTURAL_REJECT,CWE match in structural set: ['CWE-918'],Jizhicms v2.2.5 was discovered to contain a Server-Side Request Forgery (SSRF) vulnerability via the Index function in app/admin/c/PluginsController.php.,github.com,
CVE-2022-31515,2022,9.3,CRITICAL,CWE-22,ATTENUATION_MITIGATED,CWE match in attenuation set: ['CWE-22'],The Delor4/CarceresBE repository through 1.0 on GitHub allows absolute path traversal because the Flask send_file function is used unsafely.,github.com,
CVE-2022-31519,2022,9.3,CRITICAL,CWE-22,ATTENUATION_MITIGATED,CWE match in attenuation set: ['CWE-22'],The Lukasavicus/WindMill repository through 1.0 on GitHub allows absolute path traversal because the Flask send_file function is used unsafely.,github.com,
CVE-2022-39297,2022,7.7,HIGH,CWE-502,STRUCTURAL_REJECT,CWE match in structural set: ['CWE-502'],"MelisCms provides a full CMS for Melis Platform, including templating system, drag'n'drop of plugins, SEO and many administration tools. Attackers can deserialize arbitrary data on affected versions of `melisplatform/melis-cms`, and ultimately leads to the execution of arbitrary PHP code on the system. Conducting this attack does not require authentication. Users should immediately upgrade to `mel",github.com,
CVE-2022-39365,2022,9.8,CRITICAL,CWE-94,STRUCTURAL_REJECT,CWE match in structural set: ['CWE-94'],"Pimcore is an open source data and experience management platform. Prior to version 10.5.9, the user controlled twig templates rendering in `Pimcore/Mail` & `ClassDefinition\Layout\Text` is vulnerable to server-side template injection, which could lead to remote code execution. Version 10.5.9 contains a patch for this issue. As a workaround, one may apply the patch manually.",github.com,
CVE-2022-39367,2022,8.6,HIGH,CWE-22,ATTENUATION_MITIGATED,CWE match in attenuation set: ['CWE-22'],"QTIWorks is a software suite for standards-based assessment delivery. Prior to version 1.0-beta15, the QTIWorks Engine allows users to upload QTI content packages as ZIP files. The ZIP handling code does not sufficiently check the paths of files contained within ZIP files, so can insert files into other locations in the filesystem if they are writable by the process running the QTIWorks Engine. In",github.com,
CVE-2022-40624,2022,9.8,CRITICAL,CWE-78,STRUCTURAL_REJECT,CWE match in structural set: ['CWE-78'],"pfSense pfBlockerNG through 2.1.4_27 allows remote attackers to execute arbitrary OS commands as root via the HTTP Host header, a different vulnerability than CVE-2022-31814.",docs.netgate.com|github.com,
CVE-2022-43140,2022,7.5,HIGH,CWE-918,STRUCTURAL_REJECT,CWE match in structural set: ['CWE-918'],kkFileView v4.1.0 was discovered to contain a Server-Side Request Forgery (SSRF) via the component cn.keking.web.controller.OnlinePreviewController#getCorsFile. This vulnerability allows attackers to force the application to make arbitrary requests via injection of crafted URLs into the url parameter.,github.com,
CVE-2022-43183,2022,8.8,HIGH,CWE-918,STRUCTURAL_REJECT,CWE match in structural set: ['CWE-918'],XXL-Job before v2.3.1 contains a Server-Side Request Forgery (SSRF) via the component /admin/controller/JobLogController.java.,github.com,
CVE-2022-46631,2022,9.8,CRITICAL,CWE-78,STRUCTURAL_REJECT,CWE match in structural set: ['CWE-78'],TOTOlink A7100RU V7.4cu.2313_B20191024 was discovered to contain a command injection vulnerability via the wscDisabled parameter in the setting/setWiFiSignalCfg function.,github.com,
CVE-2022-47027,2022,9.8,CRITICAL,CWE-22,ATTENUATION_MITIGATED,CWE match in attenuation set: ['CWE-22'],Timmystudios Fast Typing Keyboard v1.275.1.162 allows unauthorized apps to overwrite arbitrary files in its internal storage via a dictionary traversal vulnerability and achieve arbitrary code execution.,corporate.timmystudios.com|github.com|play.google.com,
